Rank,Team Name,Match,RUN,FIFTY,HUNDRAD
1,England,14,399,2,1
2,India,17,591,8,0
3,South Africa,10,300,3,0
4,New Zealand,22,639,3,2
5,Pakistan,15,553,4,1
6,Australia,9,217,1,0
8,Srilanka,20,607,6,0
9,West indies,17,757,7,1
10,Afganistan,7,234,2,0
11,Zimbabwe,43,1445,7,3
12,Bermuda,1,26,0,0
13,keneya,3,58,0,0
14,Ireland,8,175,2,0
15,scotland,3,116,1,0
16,Netherlands,2,16,0,0
17,Canada,1,134,0,1
