match,run
1,30
2,36
3,36
4,26
5,31
6,13
7,68
8,22
9,11
10,25
11,52
12,15
13,22
14,33
15,104
16,17
17,19
18,30
19,13
20,105
21,5
22,20
23,52
24,69
25,7
26,73
27,13
28,53
29,26
30,19
31,39
32,76
33,1
34,34
35,18
36,101
37,0
38,16
39,37
40,51
